v,w,t
-2.503314396051781e-15,-3.3751213629473753e-16,1579539761.4127154
-2.503314396051781e-15,-3.3751213629473753e-16,1579539761.4633012
-2.503314396051781e-15,-3.3751213629473753e-16,1579539761.5139704
-2.503314396051781e-15,-3.3751213629473753e-16,1579539761.5645814
-2.503314396051781e-15,-3.3751213629473753e-16,1579539761.6151717
-2.503314396051781e-15,-3.3751213629473753e-16,1579539761.6657603
-2.503314396051781e-15,-3.3751213629473753e-16,1579539761.716446
-2.503314396051781e-15,-3.3751213629473753e-16,1579539761.766953
-2.503314396051781e-15,-3.3751213629473753e-16,1579539761.8175259
-2.503314396051781e-15,-3.3751213629473753e-16,1579539761.8680587
-2.503314396051781e-15,-3.3751213629473753e-16,1579539761.9187071
-2.503314396051781e-15,-3.3751213629473753e-16,1579539761.969246
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.0096583
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.0703697
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.1108415
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.1613135
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.2119913
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.262358
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.312899
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.3633807
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.4139988
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.4645128
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.515117
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.565546
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.6160758
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.6665988
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.717149
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.7677183
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.8184166
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.868947
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.9195974
-2.503314396051781e-15,-3.3751213629473753e-16,1579539762.9598923
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.0103946
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.0608318
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.1113524
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.1620028
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.2126114
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.2631273
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.313529
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.3642836
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.4147449
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.4653022
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.5159767
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.5665631
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.6170988
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.667733
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.718132
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.7685504
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.8191168
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.8696387
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.9099693
-2.503314396051781e-15,-3.3751213629473753e-16,1579539763.96056
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.0110867
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.061498
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.1119866
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.162755
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.213296
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.2638116
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.3144395
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.3649187
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.4153993
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.46641
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.517017
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.567618
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.6181583
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.6687033
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.7192051
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.7698328
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.8102949
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.8607438
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.9111283
-2.503314396051781e-15,-3.3751213629473753e-16,1579539764.9617493
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.0121267
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.0627198
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.1133158
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.1639202
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.2143536
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.2648902
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.3154402
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.365893
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.4164486
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.467066
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.5175998
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.5682063
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.6187963
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.6692543
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.71978
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.7603035
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.810801
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.8613648
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.9120183
-2.503314396051781e-15,-3.3751213629473753e-16,1579539765.9625633
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.0130663
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.0635595
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.1141698
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.1647382
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.2151475
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.2656176
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.3162606
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.3670435
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.417605
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.4680812
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.5184789
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.569142
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.6196766
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.6601586
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.7110589
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.7614598
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.8119597
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.8624918
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.9130602
-2.503314396051781e-15,-3.3751213629473753e-16,1579539766.9636824
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.0142393
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.0646276
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.1151025
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.1657047
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.216188
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.2667801
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.3173673
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.3680604
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.4185457
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.4691432
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.5195832
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.5700984
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.6106246
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.6612675
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.7117774
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.7623847
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.8129866
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.8636172
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.9141757
-2.503314396051781e-15,-3.3751213629473753e-16,1579539767.9647133
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.0152826
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.065836
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.1165128
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.1671374
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.217761
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.2682552
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.3188
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.369282
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.41982
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.460261
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.510759
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.5613937
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.6119633
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.6625032
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.71303
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.7635803
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.8143222
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.8648837
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.9155014
-2.503314396051781e-15,-3.3751213629473753e-16,1579539768.966034
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.0166311
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.0672624
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.1178408
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.168356
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.2187898
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.2695243
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.320316
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.360736
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.4111462
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.461753
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.5124133
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.5629015
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.6134112
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.663767
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.7143562
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.7649465
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.81552
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.8660882
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.9167037
-2.503314396051781e-15,-3.3751213629473753e-16,1579539769.9672818
-2.503314396051781e-15,-3.3751213629473753e-16,1579539770.0178971
-2.503314396051781e-15,-3.3751213629473753e-16,1579539770.0684109
-2.503314396051781e-15,-3.3751213629473753e-16,1579539770.1188524
-2.503314396051781e-15,-3.3751213629473753e-16,1579539770.1693892
-2.503314396051781e-15,-3.3751213629473753e-16,1579539770.22002
-2.503314396051781e-15,-3.3751213629473753e-16,1579539770.2604992
-2.503314396051781e-15,-3.3751213629473753e-16,1579539770.3109891
-2.503314396051781e-15,-3.3751213629473753e-16,1579539770.3616455
0.0011780933373687452,-0.0021816543284656122,1579539770.4120996
0.0026179898548905857,-0.003878502076377388,1579539770.4625602
0.004057891412227668,-0.005575355763427111,1579539770.5132055
0.005497788447973783,-0.00727220412205048,1579539770.563771
0.006937705779384459,-0.008969076398133246,1579539770.614364
0.01793317296981921,-0.028361434758640745,1579539770.6649082
0.0433928007930481,-0.020968131430070997,1579539770.7154858
0.06885314861557068,-0.013574619018408639,1579539770.7662218
