v_c,w_c,t_c
1.8561615943908691,2.0499024391174316,1579387235.126473
1.793664574623108,1.9936552047729492,1579387235.194488
1.793664574623108,1.9436575174331665,1579387235.225327
1.8749107122421265,1.7624160051345825,1579387235.292734
1.9561569690704346,1.5999239683151245,1579387235.366402
1.9811557531356812,1.5999239683151245,1579387235.434242
2.012404203414917,1.5874245166778564,1579387235.465227
2.1998953819274902,1.5686753988265991,1579387235.532383
2.3623878955841064,1.5374268293380737,1579387235.607061
2.55612850189209,1.5374268293380737,1579387235.674108
2.6123757362365723,1.5186777114868164,1579387235.705186
2.7373695373535156,1.506178379058838,1579387235.773225
2.7998666763305664,1.4686801433563232,1579387235.84691
2.856114387512207,1.4374315738677979,1579387235.915034
2.887362480163574,1.4186824560165405,1579387235.945969
2.887362480163574,1.4374315738677979,1579387236.013121
2.9123613834381104,1.3686847686767578,1579387236.086306
2.924860715866089,1.3811842203140259,1579387236.154836
2.899862051010132,1.3811842203140259,1579387236.186033
2.787367343902588,1.3999333381652832,1579387236.253064
2.4998810291290283,1.4186824560165405,1579387236.326968
2.1998953819274902,1.5374268293380737,1579387236.39498
2.13114857673645,1.5686753988265991,1579387236.425815
1.8749107122421265,1.5874245166778564,1579387236.493256
1.8499119281768799,1.556175947189331,1579387236.566727
1.8186633586883545,1.5186777114868164,1579387236.634973
1.8186633586883545,1.5186777114868164,1579387236.665649
1.9124089479446411,1.506178379058838,1579387236.737786
2.312390089035034,1.3999333381652832,1579387236.806834
2.7748677730560303,1.2999380826950073,1579387236.879465
2.8436148166656494,1.268689513206482,1579387236.910418
3.174849033355713,1.1311962604522705,1579387236.977609
3.774820327758789,1.0437003374099731,1579387237.046364
4.349792957305908,0.9937027096748352,1579387237.119385
4.47478723526001,0.9937027096748352,1579387237.150418
4.506035804748535,1.0249512195587158,1579387237.21747
4.506035804748535,0.9937027096748352,1579387237.286561
4.506035804748535,0.8249606490135193,1579387237.359403
4.506035804748535,0.7687132954597473,1579387237.390431
4.506035804748535,0.19374088943004608,1579387237.457479
4.506035804748535,-0.08749588578939438,1579387237.5264
4.506035804748535,-0.5124753713607788,1579387237.599312
4.506035804748535,-0.6749677062034607,1579387237.630066
4.506035804748535,-1.5186777114868164,1579387237.697153
4.506035804748535,-2.3936359882354736,1579387237.766016
4.506035804748535,-3.0311055183410645,1579387237.83893
4.506035804748535,-3.1186013221740723,1579387237.869929
4.506035804748535,-3.5560808181762695,1579387237.937101
4.506035804748535,-3.993560314178467,1579387238.005956
4.506035804748535,-4.112304210662842,1579387238.078806
4.506035804748535,-4.112304210662842,1579387238.110074
4.506035804748535,-4.112304210662842,1579387238.176935
4.506035804748535,-4.112304210662842,1579387238.245707
4.506035804748535,-4.1248040199279785,1579387238.318919
4.506035804748535,-4.112304210662842,1579387238.34969
4.506035804748535,-4.112304210662842,1579387238.417945
4.506035804748535,-4.1248040199279785,1579387238.485666
4.506035804748535,-4.112304210662842,1579387238.575677
4.506035804748535,-4.112304210662842,1579387238.650231
4.506035804748535,-4.1248040199279785,1579387238.711276
4.506035804748535,-4.1248040199279785,1579387238.743633
4.506035804748535,-4.112304210662842,1579387238.777806
4.506035804748535,-4.099804878234863,1579387238.820517
4.506035804748535,-4.112304210662842,1579387238.889918
4.506035804748535,-4.1248040199279785,1579387238.919484
4.506035804748535,-4.1248040199279785,1579387238.982395
4.506035804748535,-4.1248040199279785,1579387239.060355
4.506035804748535,-4.1248040199279785,1579387239.129434
4.506035804748535,-4.1248040199279785,1579387239.159237
